"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0V210","2020-05-08 00:00:00","734.000","0.000","0.100","22.600","0.800","931.500","","0.000","-99.000","-99.000","-99.000","33.100","","20.800",""
"C0Z320","2020-05-08 00:00:00","646.000","0.000","0.000","20.900","0.990","940.600","","0.500","-99.000","-99.000","-99.000","25.600","","20.000",""
"C0R600","2020-05-08 00:00:00","766.000","0.000","0.000","24.900","0.750","926.100","","0.000","-99.000","-99.000","-99.000","28.300","","23.700",""
"C0C650","2020-05-08 00:00:00","208.000","113.000","0.300","23.100","0.940","986.700","","12.500","-99.000","-99.000","-99.000","25.700","","20.700",""
"C0F9I0","2020-05-08 00:00:00","194.000","346.000","1.000","25.600","0.980","987.800","","0.000","-99.000","-99.000","-99.000","31.100","","23.600",""
"C0T820","2020-05-08 00:00:00","550.000","0.000","0.000","21.300","0.910","954.200","","0.000","-99.000","-99.000","-99.000","27.800","","21.300",""
"C0S890","2020-05-08 00:00:00","238.000","18.000","0.800","23.900","0.990","987.800","","1.000","-99.000","-99.000","-99.000","29.500","","23.200",""
"C0G840","2020-05-08 00:00:00","32.000","0.000","0.000","26.800","0.910","1005.400","","0.000","-99.000","-99.000","-99.000","33.800","","25.700",""
"C0V710","2020-05-08 00:00:00","34.000","331.000","1.500","29.700","0.680","1005.800","","0.000","-99.000","-99.000","-99.000","32.600","","27.800",""
"C0X140","2020-05-08 00:00:00","17.000","0.000","0.000","28.700","0.760","1007.700","","0.000","-99.000","-99.000","-99.000","33.900","","26.500",""
"C0C680","2020-05-08 00:00:00","228.000","121.000","0.400","23.900","0.840","983.000","","11.500","-99.000","-99.000","-99.000","26.100","","20.900",""
"C0D360","2020-05-08 00:00:00","523.000","0.000","0.000","20.200","0.990","951.100","","16.500","-99.000","-99.000","-99.000","24.600","","20.200",""
"C0C710","2020-05-08 00:00:00","143.000","0.000","0.100","22.800","0.990","994.500","","26.500","-99.000","-99.000","-99.000","27.200","","21.200",""
"C0Z190","2020-05-08 00:00:00","62.000","298.000","0.500","23.400","0.990","1004.600","","0.000","-99.000","-99.000","-99.000","25.800","","22.500",""
"C0Z020","2020-05-08 00:00:00","211.000","34.000","0.400","23.400","0.990","987.100","","2.500","-99.000","-99.000","-99.000","27.900","","22.300",""
"C0I380","2020-05-08 00:00:00","258.000","109.000","2.600","26.900","0.740","980.300","","0.000","-99.000","-99.000","-99.000","33.700","","24.000",""
"C0D560","2020-05-08 00:00:00","147.000","108.000","1.200","24.200","0.930","994.000","","26.000","-99.000","-99.000","-99.000","27.000","","22.900",""
"C0Z220","2020-05-08 00:00:00","589.000","0.000","0.000","21.200","0.990","947.800","","0.000","-99.000","-99.000","-99.000","24.000","","19.900",""
"C0R220","2020-05-08 00:00:00","23.000","0.000","0.100","28.700","1.000","1007.500","","0.000","-99.000","-99.000","-99.000","33.600","","26.100",""
"C0A870","2020-05-08 00:00:00","685.000","173.000","2.700","21.500","0.970","932.700","","9.000","-99.000","-99.000","-99.000","22.400","","18.600",""
"C0M680","2020-05-08 00:00:00","37.000","210.000","0.400","27.600","0.890","1007.200","","0.000","-99.000","-99.000","-99.000","33.000","","25.700",""
"C0X220","2020-05-08 00:00:00","26.000","153.000","1.000","27.700","0.770","1006.900","","0.000","-99.000","-99.000","-99.000","31.200","","26.100",""
